"scope","template_key","category","source_enabled","standard_segments_current","standard_segments_after","expanded_segments_current","expanded_segments_after","fallback_segments_current","fallback_segments_after","standard_slots_current","standard_characters_saved","source","standard_render_current","standard_render_after"
"sms_templates","appointment_confirmation","appointments","true","1","1","1","1","2","2","144","0","20260810000060_stop_line_off_customer_transactional.js","Hello Testname! Your Quarterly Pest Control is confirmed for September 15 at 9:00 AM.

Reschedule here: portal.wavespestcontrol.com/l/abcdefghjk","Hello Testname! Your Quarterly Pest Control is confirmed for September 15 at 9:00 AM.

Reschedule here: portal.wavespestcontrol.com/l/abcdefghjk"
"sms_templates","reminder_72h","appointments","true","1","1","3","3","3","3","149","12","20260907000070_shorten_long_sms_templates.js","Hello Testname! Your Quarterly Pest Control is this Tuesday, between 9:00 AM and 11:00 AM.

Reschedule here: portal.wavespestcontrol.com/l/abcdefghjk","Hello Testname! Quarterly Pest Control: Tuesday, between 9:00 AM and 11:00 AM.

Reschedule here: portal.wavespestcontrol.com/l/abcdefghjk"
"sms_templates","reminder_24h","appointments","true","2","1","3","3","4","3","254","116","20260907000070_shorten_long_sms_templates.js","Hello Testname! Reminder: your Quarterly Pest Control with Waves is tomorrow at 9:00 AM. Your technician will arrive within a two-hour window and text when 15 minutes out.

Reschedule here: portal.wavespestcontrol.com/l/abcdefghjk

Questions? Reply here.","Hello Testname! Quarterly Pest Control: tomorrow, between 9:00 AM and 11:00 AM.

Reschedule here: portal.wavespestcontrol.com/l/abcdefghjk"
"sms_templates","service_complete","service-reports","true","1","1","1","1","1","1","86","0","20260808060000_remove_reservice_line_sms_templates.js","Hello Testname! Your service report is ready: portal.wavespestcontrol.com/l/abcdefghjk","Hello Testname! Your service report is ready: portal.wavespestcontrol.com/l/abcdefghjk"
"sms_templates","invoice_sent","invoices","true","1","1","1","1","2","2","141","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is ready: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is ready: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","payment_failed","invoices","true","2","2","2","2","2","2","244","0","20260730000020_sms_template_audit.js","Hello Testname! Your payment for Quarterly Pest Control completed on September 15 did not go through. Please update your payment method or pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

Questions or requests? Reply here.","Hello Testname! Your payment for Quarterly Pest Control completed on September 15 did not go through. Please update your payment method or pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

Questions or requests? Reply here."
"sms_templates","late_payment_7d","late-payments","true","2","2","2","2","2","2","167","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is 7 days overdue. Please pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is 7 days overdue. Please pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","late_payment_14d","late-payments","true","2","2","2","2","2","2","182","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is 14 days overdue. Please pay as soon as you can: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is 14 days overdue. Please pay as soon as you can: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","late_payment_30d","late-payments","true","2","2","2","2","2","2","202","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is 30 days overdue. Please pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

Need a payment plan? Reply here.","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is 30 days overdue. Please pay here: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

Need a payment plan? Reply here."
"sms_templates","late_payment_60d","late-payments","true","2","2","2","2","2","2","207","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is 60 days overdue. Please pay or contact us today to avoid further action: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Your invoice for Quarterly Pest Control on September 15 is 60 days overdue. Please pay or contact us today to avoid further action: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","late_payment_90d","late-payments","true","2","2","2","2","2","2","214","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Final notice: your invoice for Quarterly Pest Control on September 15 is 90 days overdue and may be sent to collections. Please pay today: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Final notice: your invoice for Quarterly Pest Control on September 15 is 90 days overdue and may be sent to collections. Please pay today: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","estimate_sent","estimates","true","1","1","1","1","2","2","104","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your estimate is ready: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out.","Hello Testname! Your estimate is ready: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out."
"sms_templates","lead_auto_reply_biz","leads","true","1","1","1","1","1","1","125","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Waves Pest Control here. We got your quote request and someone will call you shortly.

Reply STOP to opt out.","Hello Testname! Waves Pest Control here. We got your quote request and someone will call you shortly.

Reply STOP to opt out."
"sms_templates","review_request","reviews","true","1","1","1","1","2","2","134","0","20260808060000_remove_reservice_line_sms_templates.js","Thanks for having us out, Testname! A Google review would mean a lot: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out.","Thanks for having us out, Testname! A Google review would mean a lot: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out."
"sms_templates","auto_new_recurring","onboarding","true","2","2","2","2","2","2","207","0","20260801000001_sms_house_voice_sweep.js","Hello Testname, welcome to Waves!

You can manage everything in the free Waves app: upcoming visits, live tech tracking, rescheduling, and invoices. Get it at wavespestcontrol.com/app

Reply STOP to opt out.","Hello Testname, welcome to Waves!

You can manage everything in the free Waves app: upcoming visits, live tech tracking, rescheduling, and invoices. Get it at wavespestcontrol.com/app

Reply STOP to opt out."
"sms_templates","auto_new_appointment","onboarding","true","1","1","1","1","1","1","94","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! We just emailed what to expect for your first service.

Reply STOP to opt out.","Hello Testname! We just emailed what to expect for your first service.

Reply STOP to opt out."
"sms_templates","auto_bed_bug","onboarding","true","1","1","1","1","1","1","131","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! We emailed your bed bug treatment guide. Please read it before your visit so the treatment works as well as it can.","Hello Testname! We emailed your bed bug treatment guide. Please read it before your visit so the treatment works as well as it can."
"sms_templates","auto_cockroach","onboarding","true","1","1","1","1","1","1","133","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! We emailed your cockroach treatment guide. Please read it before your visit so the treatment works as well as it can.","Hello Testname! We emailed your cockroach treatment guide. Please read it before your visit so the treatment works as well as it can."
"sms_templates","auto_service_renewal","retention","true","1","1","1","1","1","1","147","0","20260730000020_sms_template_audit.js","Hello Testname! Your Waves service is coming up for renewal. We emailed the details - take a look when you can.

Questions or requests? Reply here.","Hello Testname! Your Waves service is coming up for renewal. We emailed the details - take a look when you can.

Questions or requests? Reply here."
"sms_templates","invoice_followup_3day","invoices","true","2","2","2","2","2","2","197","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your invoice for Quarterly Pest Control has an open balance of $100.00: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

If something looks off, reply and we'll sort it.","Hello Testname! Your invoice for Quarterly Pest Control has an open balance of $100.00: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk

If something looks off, reply and we'll sort it."
"sms_templates","appointment_rescheduled","appointments","true","2","2","2","2","2","2","187","0","20260730000020_sms_template_audit.js","Hello Testname! Your Quarterly Pest Control with Waves has been rescheduled to Tuesday, September 15 at 9:00 AM.

Need to change it again? Visit portal.wavespestcontrol.com or reply here.","Hello Testname! Your Quarterly Pest Control with Waves has been rescheduled to Tuesday, September 15 at 9:00 AM.

Need to change it again? Visit portal.wavespestcontrol.com or reply here."
"sms_templates","appointment_cancelled","appointments","true","1","1","1","1","1","1","129","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Your Quarterly Pest Control on Tuesday, September 15 is cancelled.

Want to get back on the schedule? Reply here.","Hello Testname! Your Quarterly Pest Control on Tuesday, September 15 is cancelled.

Want to get back on the schedule? Reply here."
"sms_templates","referral_nudge","referrals","true","1","1","1","1","2","2","143","0","20260706000010_sms_template_cleanup.js","Hello Testname! Share your Waves referral link. They get $25 off, you get $25: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out.","Hello Testname! Share your Waves referral link. They get $25 off, you get $25: portal.wavespestcontrol.com/l/abcdefghjk

Reply STOP to opt out."
"sms_templates","tech_en_route","appointments","true","1","1","1","1","2","2","113","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Tech is on the way.

About 15 minutes away.

Track live: portal.wavespestcontrol.com/l/abcdefghjk","Hello Testname! Tech is on the way.

About 15 minutes away.

Track live: portal.wavespestcontrol.com/l/abcdefghjk"
"sms_templates","missed_call","leads","true","1","1","1","1","1","1","95","0","20260706000010_sms_template_cleanup.js","Hello Testname! Waves here. Sorry we missed your call. How can we help?

Reply STOP to opt out.","Hello Testname! Waves here. Sorry we missed your call. How can we help?

Reply STOP to opt out."
"sms_templates","invoice_receipt","invoices","true","1","1","2","2","2","2","146","0","20260801000001_sms_house_voice_sweep.js","Hello Testname! Payment received, thank you. Invoice XXXXXXXXXXXXX: $100.00.

Receipt: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk","Hello Testname! Payment received, thank you. Invoice XXXXXXXXXXXXX: $100.00.

Receipt: portal.wavespestcontrol.com/l/xxxxxxxxxxxxx-0915-abcdefghjk"
"sms_templates","estimate_followup_unviewed","estimates","true","2","2","2","2","2","2","162","0","20260706000010_sms_template_cleanup.js","Hello Testname! Just making sure you saw your Waves estimate: portal.wavespestcontrol.com/l/abcdefghjk

Questions or requests? Reply here.

Reply STOP to opt out.","Hello Testname! Just making sure you saw your Waves estimate: portal.wavespestcontrol.com/l/abcdefghjk

Questions or requests? Reply here.

Reply STOP to opt out."
"sms_templates","estimate_followup_viewed","estimates","true","2","2","2","2","2","2","173","0","20260706000010_sms_template_cleanup.js","Hello Testname! Saw you opened your Waves estimate. Any questions we can answer? portal.wavespestcontrol.com/l/abcdefghjk

Reply here and we'll help.

Reply STOP to opt out.","Hello Testname! Saw you opened your Waves estimate. Any questions we can answer? portal.wavespestcontrol.com/l/abcdefghjk

Reply here and we'll help.

Reply STOP to opt out."
"sms_templates","estimate_followup_final","estimates","true","2","2","2","2","2","2","188","0","20260706000010_sms_template_cleanup.js","Hello Testname! One last check-in. Your Waves estimate is still available: portal.wavespestcontrol.com/l/abcdefghjk

No pressure - reply here if you have questions.

Reply STOP to opt out.","Hello Testname! One last check-in. Your Waves estimate is still available: portal.wavespestcontrol.com/l/abcdefghjk

No pressure - reply here if you have questions.

Reply STOP to opt out."
