question_id,engine,model,answer_available,citations_complete,brand_mentioned,waves_linked,target_page_linked
Q1,claude,claude-sonnet-5,true,true,false,false,false
Q1,gemini,gemini-2.5-flash,true,true,false,false,false
Q1,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q16,claude,claude-sonnet-5,true,true,false,true,false
Q16,gemini,gemini-2.5-flash,true,true,false,false,false
Q16,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q10,claude,claude-sonnet-5,true,true,false,false,false
Q10,gemini,gemini-2.5-flash,true,true,false,false,false
Q10,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q5,claude,claude-sonnet-5,true,true,true,true,true
Q5,gemini,gemini-2.5-flash,true,true,true,true,true
Q5,google_ai_overview,dataforseo:ai_overview,false,true,false,,
Q21,claude,claude-sonnet-5,true,true,false,false,false
Q21,gemini,gemini-2.5-flash,true,true,false,false,false
Q1,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q21,google_ai_overview,dataforseo:ai_overview,true,true,true,true,false
Q16,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q25,claude,claude-sonnet-5,true,true,false,false,false
Q10,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q5,chatgpt,gpt-5-search-api-2025-10-14,true,true,true,true,false
Q25,gemini,gemini-2.5-flash,true,true,false,false,false
Q21,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q25,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q25,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q39,claude,claude-sonnet-5,true,true,false,false,false
Q39,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q32,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q39,gemini,gemini-2.5-flash,true,true,false,false,false
Q12,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q39,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q19,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q18,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q32,claude,claude-sonnet-5,true,true,false,false,false
Q33,chatgpt,gpt-5-search-api-2025-10-14,true,true,true,true,false
Q32,gemini,gemini-2.5-flash,true,true,false,true,false
Q6,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q32,google_ai_overview,dataforseo:ai_overview,true,true,true,true,false
Q14,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q3,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q12,claude,claude-sonnet-5,true,true,false,false,false
Q9,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q12,gemini,gemini-2.5-flash,true,true,false,true,false
Q4,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q12,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q34,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q37,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q28,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q19,claude,claude-sonnet-5,true,true,false,false,false
Q31,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q19,gemini,gemini-2.5-flash,true,true,false,false,false
Q19,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q36,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q11,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q18,claude,claude-sonnet-5,true,true,false,false,false
Q40,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q18,gemini,gemini-2.5-flash,true,true,false,true,false
Q18,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q20,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q33,claude,claude-sonnet-5,true,true,false,false,false
Q26,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q33,gemini,gemini-2.5-flash,true,true,true,true,false
Q35,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q33,google_ai_overview,dataforseo:ai_overview,true,true,true,true,false
Q7,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q6,claude,claude-sonnet-5,true,true,false,false,false
Q38,chatgpt,gpt-5-search-api-2025-10-14,true,true,true,true,false
Q6,gemini,gemini-2.5-flash,true,true,false,false,false
Q29,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q6,google_ai_overview,dataforseo:ai_overview,true,true,false,false,false
Q30,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q27,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q14,claude,claude-sonnet-5,true,true,false,false,false
Q24,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q15,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q14,gemini,gemini-2.5-flash,true,true,false,false,false
Q14,google_ai_overview,dataforseo:ai_overview,true,true,false,true,false
Q22,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q23,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,true,false
Q3,claude,claude-sonnet-5,true,true,false,true,false
Q3,gemini,gemini-2.5-flash,true,true,false,false,false
Q8,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q2,chatgpt,gpt-5-search-api-2025-10-14,true,true,false,false,false
Q3,google_ai_overview,dataforseo:ai_overview,true,true,true,true,false
