file,symbols_and_lines,components_and_lines,choices_and_lines,api_calls_and_lines,route_guards,state_and_subscriptions,flags,relative_dependencies
client/src/App.jsx,CustomerFailureScreen:13; ScheduleRedirect:153; LawnAssessmentRedirect:163; FleetRedirect:170; ReviewLinkRedirect:182; BookEstimateRedirect:192; RecapLinkRedirect:201; AdminSafariShell:208; NewsletterExternalRedirect:220; ExternalRedirect:227; ChunkLoadFallback:272; RouteFallback:317; RoutesErrorBoundary:427; ProtectedRoute:433; App:495,Icon:46; CustomerFailureScreen:89; Icon:127; Navigate:157; Navigate:167; Navigate:175; Navigate:185; Navigate:194; Navigate:203; CustomerFailureScreen:276; PageErrorBoundary:430; Navigate:492; AuthProvider:497; BrowserRouter:498; PublicFunnelTracking:499; AdminSafariShell:500; InstallPrompt:501; BiometricGate:502; RoutesErrorBoundary:503; Routes:504; Route:505; LoginPage:505; Route:508; Suspense:508; WavesShell:508; RatePage:508; Route:511; Suspense:511; WavesShell:511; CardPage:511; Route:512; Suspense:512; WavesShell:512; ProjectReportViewPage:512; Route:513; Suspense:513; WavesShell:513; ReportViewPage:513; Route:514; RecapLinkRedirect:514; Route:515; Suspense:515; StatementPayPage:515; Route:516; Suspense:516; PayPage:516; Route:517; Suspense:517; ReceiptPage:517; Route:518; Suspense:518; ContractSignPage:518; Route:519; Suspense:519; TrackPage:519; Route:520; Suspense:520; ScheduleFlowPage:520; Route:521; Suspense:521; ScheduleFlowPage:521; Route:522; Suspense:522; AppointmentPage:522; Route:523; Suspense:523; SecureAppointmentPage:523; Route:524; Suspense:524; PrepGuidePage:524; Route:525; Suspense:525; PriceChangeNoticePage:525; Route:527; ExternalRedirect:527; Route:529; Suspense:529; WavesShell:529; EstimateViewPage:529; Route:535; Suspense:535; WavesShell:535; LawnReportViewPage:535; Route:536; Suspense:536; WavesShell:536; PestReportViewPage:536; Route:537; Suspense:537; WavesShell:537; ServiceOutlinePage:537; Route:538; ReviewLinkRedirect:538; Route:539; Suspense:539; PublicBookingPage:539; Route:540; ExternalRedirect:540; Route:541; ExternalRedirect:541; Route:542; NewsletterExternalRedirect:542; Route:543; Suspense:543; NewsletterArchivePage:543; Route:544; BookEstimateRedirect:544; Route:545; Navigate:545; AdminLoginPage:545; Route:546; Navigate:546; AdminChangePasswordPage:546; Route:547; Navigate:547; AdminForgotPasswordPage:547; Route:548; Navigate:548; AdminResetPasswordPage:548; Route:549; Navigate:549; TechLayout:549; Route:550; Suspense:550; RouteFallback:550; TechHomePage:550; Route:554; Navigate:554; Route:555; Suspense:555; RouteFallback:555; TechProtocolsPage:555; Route:556; Suspense:556; RouteFallback:556; TechLawnDiagnosticPage:556; Route:557; Suspense:557; RouteFallback:557; TechSocialPostPage:557; Route:559; Navigate:559; PageErrorBoundary:559; AdminLayout:559; Route:560; Navigate:560; Route:561; Suspense:561; RouteFallback:561; AdminDashboardPage:561; Route:562; Suspense:562; RouteFallback:562; AdminCustomersPage:562; Route:563; Suspense:563; RouteFallback:563; AdminCustomersPage:563; Route:564; Suspense:564; RouteFallback:564; AdminDuplicateCustomersPage:564; Route:565; Suspense:565; RouteFallback:565; AdminPipelinePage:565; Route:568; AdminTabRedirect:568; Route:569; Suspense:569; AdminAgentEstimatePage:569; Route:570; Suspense:570; RouteFallback:570; AdminCommercialProposalPage:570; Route:576; Suspense:576; RouteFallback:576; AdminDispatchPage:576; Route:577; ScheduleRedirect:577; Route:578; Navigate:578; Route:579; Suspense:579; RouteFallback:579; AdminCommunicationsPage:579; Route:580; Suspense:580; RouteFallback:580; AdminReviewsPage:580; Route:581; Navigate:581; Route:582; Suspense:582; RouteFallback:582; AdminAdsPage:582; Route:583; Suspense:583; RouteFallback:583; AdminSEOPage:583; Route:585; Navigate:585; Route:586; Navigate:586; Route:587; Navigate:587; Route:588; Suspense:588; RouteFallback:588; AgentsHubPage:588; Route:589; Navigate:589; Route:591; Navigate:591; Route:592; Suspense:592; RouteFallback:592; AdminBlogPage:592; Route:593; Suspense:593; RouteFallback:593; KnowledgeHubPage:593; Route:594; Suspense:594; RouteFallback:594; AdminReferralsPage:594; Route:595; Suspense:595; RouteFallback:595; AdminSocialMediaPage:595; Route:596; Suspense:596; RouteFallback:596; AdminTaxPage:596; Route:597; AdminTabRedirect:597; Route:602; LawnAssessmentRedirect:602; Route:603; Suspense:603; RouteFallback:603; AdminAssessmentsHubPage:603; Route:604; Suspense:604; RouteFallback:604; AdminRecruitingPage:604; Route:605; AdminTabRedirect:608; Route:623; Suspense:623; RouteFallback:623; AdminTurfHeightReviewPage:623; Route:624; AdminTabRedirect:624; Route:625; Suspense:625; RouteFallback:625; AdminEquipmentPage:625; Route:626; AdminTabRedirect:629; Route:641; Suspense:641; RouteFallback:641; AdminInvoicesPage:641; Route:642; Suspense:642; RouteFallback:642; BillingRecoveryPage:642; Route:643; Suspense:643; RouteFallback:643; PayersPage:643; Route:644; Suspense:644; RouteFallback:644; AdminInventoryPage:644; Route:645; Suspense:645; RouteFallback:645; AdminSettingsPage:645; Route:646; Suspense:646; RouteFallback:646; PestPressureSettingsPage:646; Route:647; Navigate:647; Route:648; Suspense:648; RouteFallback:648; TimeTrackingPage:648; Route:649; AdminTabRedirect:649; Route:650; FleetRedirect:650; Route:651; Suspense:651; RouteFallback:651; ServiceLibraryPage:651; Route:652; Suspense:652; RouteFallback:652; ProjectsPage:652; Route:653; Suspense:653; RouteFallback:653; AdminContractsPage:653; Route:654; Navigate:654; Route:655; Navigate:655; Route:656; Navigate:656; Route:657; Suspense:657; RouteFallback:657; CompliancePage:657; Route:658; AdminTabRedirect:658; Route:659; Suspense:659; RouteFallback:659; NewsletterPage:659; Route:660; Navigate:660; Route:661; Navigate:661; Route:662; Suspense:662; RouteFallback:662; AdminEmailPage:662; Route:663; Suspense:663; RouteFallback:663; AdminBankingPage:663; Route:664; Suspense:664; RouteFallback:664; PricingHubPage:664; Route:665; Navigate:665; Route:666; Suspense:666; RouteFallback:666; AdminToolHealthPage:666; Route:667; AdminTabRedirect:667; Route:668; Suspense:668; RouteFallback:668; AdminPriceMatchPage:668; Route:669; AdminTabRedirect:669; Route:670; Suspense:670; RouteFallback:670; AdminMorePage:670; Route:671; Suspense:671; RouteFallback:671; DesignSystemPage:671; Route:672; Suspense:672; RouteFallback:672; DesignSystemFlagsPage:672; Route:674; ProtectedRoute:677; Suspense:678; PortalPage:679; CustomerDialogHost:686; GrowthBookProvider:697,,,,useParams None:183; useParams None:193; useParams None:202; sessionStorage.removeItem chunk-reload-attempted:279; sessionStorage.removeItem chunk-reload-attempted:299; sessionStorage.removeItem chunk-reload-attempted:329; sessionStorage.getItem chunk-reload-attempted:335; sessionStorage.setItem chunk-reload-attempted:336; ,,client/src/lib/growthbook.js; client/src/lib/reportError.js; client/src/hooks/useAuth.jsx; client/src/theme-brand.js; client/src/theme-customer.js; client/src/glass/glass-engine.js; client/src/components/Icon.jsx; client/src/components/brand/CustomerDialogHost.jsx; client/src/lib/estimateMarketingRedirects.js; client/src/pages/LoginPage.jsx; client/src/pages/AdminLoginPage.jsx; client/src/pages/AdminChangePasswordPage.jsx; client/src/pages/AdminForgotPasswordPage.jsx; client/src/pages/AdminResetPasswordPage.jsx; client/src/components/AdminLayoutV2.jsx; client/src/components/TechLayout.jsx; client/src/components/InstallPrompt.jsx; client/src/components/BiometricGate.jsx; client/src/components/analytics/PublicFunnelTracking.jsx; client/src/hooks/useAdminBookmarkMeta.js; client/src/hooks/useAdminViewport.js; client/src/lib/adminBookmarkMeta.js; client/src/components/admin/AdminTabRedirect.jsx; client/src/native/platform.js; client/src/components/brand/WavesShell.jsx; client/src/pages/PortalPage.jsx; client/src/pages/ReportViewPage.jsx; client/src/pages/ProjectReportViewPage.jsx; client/src/pages/admin/ReviewsPage.jsx; client/src/pages/admin/AdminDispatchPage.jsx; client/src/pages/admin/InventoryPage.jsx; client/src/pages/admin/CommunicationsPageV2.jsx; client/src/pages/admin/CustomersPageV2.jsx; client/src/pages/admin/ReferralsPageV2.jsx; client/src/pages/admin/DashboardPageV2.jsx; client/src/pages/admin/EstimatesPageV2.jsx; client/src/pages/admin/AgentEstimatePage.jsx; client/src/pages/admin/CommercialProposalPage.jsx; client/src/pages/tech/TechHomePage.jsx; client/src/pages/tech/TechProtocolsPage.jsx; client/src/pages/LawnReportViewPage.jsx; client/src/pages/PestReportViewPage.jsx; client/src/pages/admin/AssessmentsHubPage.jsx; client/src/pages/admin/RecruitingPage.jsx; client/src/pages/tech/TechLawnDiagnosticPage.jsx; client/src/pages/tech/TechSocialPostPage.jsx; client/src/pages/admin/AdsPage.jsx; client/src/pages/admin/SEOPage.jsx; client/src/pages/admin/BlogPage.jsx; client/src/pages/admin/AgentsHubPage.jsx; client/src/pages/admin/KnowledgeHubPage.jsx; client/src/pages/admin/SettingsPage.jsx; client/src/pages/admin/PestPressureSettingsPage.jsx; client/src/pages/RatePage.jsx; client/src/pages/CardPage.jsx; client/src/pages/admin/SocialMediaPage.jsx; client/src/pages/admin/TaxPage.jsx; client/src/pages/admin/ToolHealthPage.jsx; client/src/pages/admin/PriceMatchPage.jsx; client/src/pages/admin/DuplicateCustomersPage.jsx; client/src/pages/admin/EquipmentPage.jsx; client/src/pages/admin/TurfHeightReviewPage.jsx; client/src/pages/admin/AdminInvoicesPage.jsx; client/src/pages/admin/BillingRecoveryPage.jsx; client/src/pages/admin/PayersPage.jsx; client/src/pages/admin/ContractsPage.jsx; client/src/pages/PayPageV2.jsx; client/src/pages/StatementPayPage.jsx; client/src/pages/ReceiptPage.jsx; client/src/pages/ContractSignPage.jsx; client/src/pages/TrackPage.jsx; client/src/pages/ScheduleFlowPage.jsx; client/src/pages/AppointmentPage.jsx; client/src/pages/SecureAppointmentPage.jsx; client/src/pages/PrepGuidePage.jsx; client/src/pages/PriceChangeNoticePage.jsx; client/src/pages/EstimateViewPage.jsx; client/src/pages/admin/TimeTrackingPage.jsx; client/src/pages/admin/ServiceLibraryPage.jsx; client/src/pages/admin/ProjectsPage.jsx; client/src/pages/admin/NewsletterPage.jsx; client/src/pages/admin/CompliancePage.jsx; client/src/pages/admin/PricingHubPage.jsx; client/src/pages/admin/_DesignSystemPage.jsx; client/src/pages/admin/_DesignSystemFlagsPage.jsx; client/src/pages/admin/EmailPage.jsx; client/src/pages/admin/BankingPage.jsx; client/src/pages/admin/MorePage.jsx; client/src/pages/PublicBookingPage.jsx; client/src/pages/ServiceOutlinePage.jsx; client/src/pages/NewsletterArchivePage.jsx
client/src/components/AddressAutocomplete.jsx,AddressAutocomplete:25,,,,,; setInterval None:116; setInterval None:126,,
client/src/components/AdminLayoutV2.jsx,AdminLayoutV2:54,IntelligenceBarPageDataProvider:165; Menu:217; Sparkles:238; NotificationBell:243; X:322; Sparkles:343; NotificationBell:345; Search:372; Link:435; Icon:483; LogOut:565; Outlet:596; Link:633; Icon:659; GlobalCommandPalette:682,,GET/default /admin/auth/me:83,,localStorage.getItem waves_admin_token:78; localStorage.removeItem waves_admin_token:90; localStorage.removeItem waves_admin_user:91; localStorage.setItem waves_admin_user:101; localStorage.removeItem waves_admin_token:105; localStorage.removeItem waves_admin_user:106; localStorage.removeItem waves_admin_token:154; localStorage.removeItem waves_admin_user:155; ,agent_estimate:61,client/src/hooks/useIntelligenceBarPageData.jsx; client/src/lib/tapToPayReturn.js; client/src/components/ui/cn.js; client/src/hooks/useIsMobile.js; client/src/hooks/useFeatureFlag.js; client/src/utils/admin-fetch.js; client/src/lib/adminUsage.js; client/src/config/adminNavigation.js; client/src/components/NotificationBell.jsx; client/src/components/admin/GlobalCommandPalette.jsx
client/src/components/BiometricGate.jsx,BiometricGate:68,BiometricLockContext.Provider:201,,,,; document.addEventListener visibilitychange:135,,client/src/native/platform.js; client/src/native/biometric.js; client/src/theme-brand.js; client/src/glass/glass-theme.css
client/src/components/DocumentActionBar.jsx,DocumentActionBar:87,Download:151; Download:154; Share2:158; Printer:164; Lock:168,,,,; ,,client/src/native/nativeFile.js; client/src/theme-customer.js; client/src/theme-doc.js; client/src/components/brand/CustomerDialogHost.jsx
client/src/components/HorizontalScroll.jsx,HorizontalScroll:7,,,,,; ,,
client/src/components/Icon.jsx,Icon:154,Cmp:158,,,,; ,,
client/src/components/NotificationBell.jsx,NotificationBell:58; PushEnableStrip:647,PushEnableStrip:423; PushEnableStrip:545,account=Account:397; whats_new=What's new:398,request <computed>:93; GET/default ${…}${…}:94,,localStorage.getItem waves_admin_token:17; localStorage.getItem None:83; localStorage.getItem None:155; localStorage.getItem None:178; localStorage.getItem None:208; setInterval None:118; document.addEventListener mousedown:130; document.addEventListener visibilitychange:161,,client/src/hooks/useModalFocus.js; client/src/lib/push-subscribe.js; client/src/native/nativePush.js; client/src/utils/api.js
client/src/components/PublicLoadError.jsx,PublicLoadError:1,,,,,; ,,
client/src/components/ServiceRecapModal.jsx,ServiceRecapModal:85,,,,,; ,,client/src/lib/product-rate-prefill.js; client/src/lib/pest-default-mix.js
